fecha,paso,id,decision,evidencia,fuente,capa,quien
2026-09-16,0,fuente-shp,Usar la copia de lp_1979.shp de _local_estaciones/ref_derivados en vez de data/raw/networks (vacia en este clon),md5 89c28feab3535f83a1e49933b43f8404 (verified identical to data/raw/networks/lp_1979.shp in this repo) identico a la copia de Dropbox de Diego,md5sum,1_deterministica,claude
2026-09-16,0,metodo-largo,"Medir largo geodesico sobre elipsoide WGS84 (pyproj.Geod), no reproyectar a CRS plano","elipsoide 42785.5 km vs esfera radio medio 42789.8 km: 0.01% de diferencia, no mueve conclusiones",EXTERNAL:scripts/b12_len.py,1_deterministica,claude
2026-09-16,1,recorte-no-explica,La brecha 43923 vs 42780 NO viene del recorte por distrito,"sin recortar 42785.5 km vs recortado 42780 del manifest: perdida 5.5 km = 0.01%. Por status: 1 -> -0.01%, 2 -> 0.00%, 3 -> 0.22%",EXTERNAL:scripts/b12_len.py,1_deterministica,claude
2026-09-16,1,reproduce-manifest,"El shapefile reproduce los totales del manifest de Diego, o sea estamos midiendo lo mismo",status1=33299.8 vs 33303 reportado; status2=5563.1 vs 5563; status3=3922.7 vs 3914,EXTERNAL:scripts/b12_len.py vs data_file_manifest_rails.log,1_deterministica,claude
2026-09-16,2,serie-obs,"Serie verificada desde el xlsx, no transcrita a mano: 60 obs 1857-1989, coincide con lo que decia el PLAN","pandas read_excel Sheet1, 60 filas no nulas",data_trains.xlsx,1_deterministica,claude
2026-09-16,3,veredicto-H2,"VEREDICTO H2: el deficit es proporcional y constante, es propiedad de la digitalizacion, no faltan lineas de ninguna epoca","deficit 2.59% (1960), 2.30% (1976), 2.46% (1986). Rango 0.29 pp, bajo el umbral de 0.75 pp fijado antes de correr",EXTERNAL:scripts/b12_test.py,1_deterministica,claude
2026-09-16,4,status3-es-1960-1976,"status==3 describe la ventana 1960-1976, NO 1960-1966 como dice la prosa del paper","status3=3923 km. La serie da 1982 km de cierre en 1960-1966 (el shapefile lo duplica, 198%) y 4144 km en 1960-1976 (el shapefile cuadra al 95%)",EXTERNAL:scripts/b12_test.py,1_deterministica,claude
2026-09-16,4,status2-valida,"status==2 (dictadura) cuadra con la serie de forma independiente, lo que valida el metodo del test",status2=5563 km vs 5639 km de cierre 1976-1986 en la serie: 99%,EXTERNAL:scripts/b12_test.py,1_deterministica,claude
2026-09-16,4,no-hay-bucket-faltante,No hay bucket faltante en los DATOS ni en el CODIGO; el problema es solo la etiqueta en la prosa del §3,readme.md de networks y el manifest dicen los dos 'closed before 1976'; el manifest dice explicitamente 'closed between 1960 and 1976'. Solo section_3_data.tex dice 1960-1966,"data/raw/networks/readme.md, data_file_manifest_rails.log, paper/section_3_data.tex",1_deterministica,claude
2026-09-16,4,1947-1960-estable,1947->1960 la red crece +368 km (+0.84%); el pico de la serie es 1957 con 43938 km,"serie: 1947=43555, 1957=43938, 1960=43923",EXTERNAL:scripts/b12_test.py,1_deterministica,claude
2026-09-16,4,ambiguedad-abierta,"El 2.5% uniforme es consistente con generalizacion del trazado a mano Y con que la serie cuente km de via (doble via, desvios) contra km de linea del shapefile. NO se resuelve: las dos implican lo mismo para el paper, un corrimiento de nivel y no un sesgo de composicion",deficit uniforme en tres cortes independientes,"razonamiento, no dato",3_abierto,claude
2026-09-17,4,ENCUADRE-CORREGIDO,"ENCUADRE CORREGIDO por Jose: no es 'la prosa esta mal y el codigo bien'. Son DOS FUENTES que miden lo mismo (el mapa de 1979 y la serie agregada), pueden diferir, y lo que hay que ordenar son las definiciones: que numero sale de cual fuente","el mapa no contiene fechas. Verificado: los cinco atributos de lp_1979.shp son id_main, status1979, id_1979, studied_co, recom_code. Ningun campo de fecha, y 1974 no aparece en ningun lado del pipeline de riel",geopandas sobre lp_1979.shp; grep 1974 en el repo,1_deterministica,jose
2026-09-17,4,cortes-que-da-el-mapa,"El mapa da DOS cortes limpios y uno por supuesto. Limpios: pre-1976 (status 1+2, que es la definicion del campo) y 1979/1986 (status 1). Por supuesto: 1960 (status 1+2+3), que requiere asumir que los de status 3 estaban abiertos en 1960",la definicion documentada del campo es 3 = closed before 1976; el 1960 no esta en el mapa,"data/raw/networks/readme.md, data_file_manifest_rails.log",1_deterministica,claude
