paso,tipo,scope,page,row,campo,valor_original,valor_final,motivo,fuente
2.3,correccion_lectura,fila,v3_p08,204,total,1871,1873,total mal leido; imagen=1.873 (957+916=1873),humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v3_p14,342,total,918,938,total mal leido; imagen=938 (520+418=938),humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v3_p14,462,total,508,608,total mal leido; imagen=608 (342+266=608),humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v3_p16,671,varones,182,181,varones mal leido; imagen=181 (181+142=323),humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v3_p03,909,mujeres,33,39,mujeres mal leido; imagen=39 (66+39=105),humano (Jose) + imagen-rezoom
2.3,inconsistencia_fuente,fila,v3_p11,307,total,1112,,digitos claros 1.112/631/451; v+m=1082 != 1112; error aritmetico de la fuente; no se altera,humano (Jose) + imagen-rezoom
2.3,inconsistencia_fuente,fila,v3_p22,262,total,1374,,digitos claros 1.374/762/512; v+m=1274 != 1374; error aritmetico de la fuente; no se altera,humano (Jose) + imagen-rezoom
2.3,confirmacion_abreviatura,fila,v3_p02,497,departamento,Cnel. de Mar. L.N.Rosales,,abreviatura impresa; lectura correcta; expansion canonica en Paso 1B,humano (Jose)
2.3,confirmacion,fila,v3_p02,828,localidad,Balneario Mar de Ajo Norte,,lectura correcta; Wikipedia sin_match (su articulo es 'Mar de Ajo'),humano (Jose)
2.3,confirmacion,fila,v3_p08,768,localidad,Erezcano,,Wikipedia exacto 'Erezcano'; ultima letra = o (resuelve duda o/e),humano (Jose)
2.3,confirmacion_vacio,fila,v3_p12,763,mujeres,,,celda vacia/no impresa en la fuente; no se infiere total-varones,humano (Jose)
2.3,correccion_lectura,fila,v3_p02,651,localidad,Avestrus,Avestruz,imagen='Avestruz' (z final); typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v3_p03,546,localidad,Campo Sallee,Campo Salles,imagen='Campo Salles' (-es); typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p06,729,localidad,Chapaleofú,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p06,108,localidad,Darragueira,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p15,266,localidad,Mariano M. Alfonso,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p18,416,localidad,Ramón Otero,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
